Continent	Region	country_code	Country	Subregion	Category	Product	Description	Raw_material_ontology	Raw_material_additional_information	Reference	Webpage_reference	 Comments
Africa	Sub-Saharan Africa (202)	894	Zambia	Eastern Africa (014)	fermented cereal 	Chibwantu	"Chibwantu is a popular homemade fermented beverage in Zambia, similar to Munkoyo in processing steps. It involves cooking grits until starch gelatinizes and adding white root extract at specific temperatures to facilitate the hydrolysis of starch into fermentable sugars. The beverage undergoes spontaneous fermentation."	corn	grits and white extract of Rhynchosia roots	"Phiri, S. (2022). A Review of Health Benefits of Fermented Munkoyo, Chibwantu Beverages And Medicinal Application of Rhynchosia Roots. Food Science and Nutrition, 8(4), 1–7. https://doi.org/10.24966/FSN-1076/100147"		
Europe	Western Europe (155)	040	Austria		cheese - dairy product	Bregenzerwälder Bergkäse	"Bregenzerwälder or Vorarlberger mountain cheese is produced in the Alpine region of Bregenzerwald in Austria’s most western province, Vorarlberg, and is entirely made from whole or partly skimmed raw milk. The evening milk is traditionally stored in holzgepsen (large wooden vats) and remains there over night without chilling, which keeps the natural raw milk microflora intact. The mountain cheese is then stored and aged under constant care for up to two years. Traditionally the cows from which the milk for this cheese is used are entirely fed with fresh grass or hay. No silage is used. Farmers are encouraged to keep the amount of concentrated feed at an absolute minimum. The most important aspects of traditional Bregenzerwälder mountain cheese production are that the milk storage in wooden containers without chilling over night keeps the raw milk microflora intact and has a positive effect on the maturation process, making the purchase of bacterial cultures from the lab unnecessary as the required starter cultures for cheese production are used over and over again. https://www.fondazioneslowfood.com/en/ark-of-taste-slow-food/bregenzerwalder-mountain-cheese/"	cow milk 	raw cow milk	"Quijada, N. M., Schmitz-Esser, S., Zwirzitz, B., Guse, C., Strachan, C. R., Wagner, M., Wetzels, S. U., Selberherr, E., & Dzieciol, M. (2020a). Austrian Raw-Milk Hard-Cheese Ripening Involves Successional Dynamics of Non-Inoculated Bacteria and Fungi. Foods, 9(12). https://doi.org/10.3390/FOODS9121851"		
Europe	Western Europe (155)	040	Austria	Tyrolean Alp valleys	cheese 	Tyroler Graukäse	"strongly flavoured, rennet-free cows-milk acid-curd cheese made in the Tyrolean Alp valleys, registered as protected designation of origin (PDO). The milk is optained from Tyrolean alpine milk or Tyrolean valley milk from cows fedded silage-free."	cow milk 	cow milk	https://info.bml.gv.at/themen/lebensmittel/trad-lebensmittel/kaese/tiroler_graukaese.htmll		
Europe	Western Europe (155)	040	Austria	-	cheese 	Innviertler Abgereifter	"Innviertler Abgereifter is traditionally produced in Innviertel (north-western part of Upper Austria), but every region in Austria has its own version of cheese made from curdled milk. Examples are “Gelunder” in Carinthia, “Steirerkäse” from Styria and “Tyrolean Graukäse”. The above-described type of Graukäse is typical for the Innviertel and is hardly known outside of this region. The Strasser family is the only producer in Upper Austria who restarted the production of this particular cheese again. FOr the production of Innviertler Abgereiftentoday raw milk is centrifuged, the cream skimmed off and lactic acid bacteria added to the remaining skimmed milk. When the milk became more thick, it is succesively heated and cutted. After salting and peppering it, it is layed for two days for the ripening process at 25/30 degrees. After one or two weeks this cheese has reached its main characteristics. "	cow milk 	raw cow milk 	Rossana Coda	https://www.slow-food.at/arche-des-geschmacks/l/innviertler-abgereifter	
Europe	Western Europe (155)	040	Austria	"Tyrol, Wildschönau"	fermented roots	Krautinger	"The process of making Krautinger involves pressing turnips to extract juice, which is then reduced in kettles and fermented using either pure yeast cultures nowadays or a traditional mixture called ""Gmachtl"" in the past. After fermentation, the liquid is distilled twice, and the resulting Krautinger has a unique and intense vegetable-like flavor. From Wildschönau region"	turnip	Turnip (Brassica rapa ssp. Rapa)	"Lena Flörl, https://info.bml.gv.at/themen/lebensmittel/trad-lebensmittel/getraenke/krautinger.html"		
Europe	Western Europe (155)	040	Austria	Montafon	cheese 	Montafoner Suure Kees	cheese made of soured-milk and has its origins in the Vorarlberger Montafon. It is known in Vorarlberg since the 12th century and is similar to the Tyrolean grey cheese. The characteristics of this cheese are reached thanks to the quality of the milk and is related to the locally diversity of plants and herbs present in this region.	cow milk 	cow milk	https://info.bml.gv.at/themen/lebensmittel/trad-lebensmittel/kaese/montafoner_sura_kees.html		
Europe	Western Europe (155)	040	Austria	Burgenland	wine	Schilfwein	"Reed wines are traditionally produced in Austria from fully ripe and sugar-rich white or red grapes. The grapes are dried on reed mats or hung on strings for at least three months before pressing, undergoing a natural drying process. The resulting reed wines are robust, long-lasting, and can have an alcohol content of up to 14% by volume. "	grape	white or red grapes	"Lena Flörl, https://info.bml.gv.at/themen/lebensmittel/trad-lebensmittel/getraenke/strohwein_schilfwein.html"		
Europe	Western Europe (155)	040	Austria		fermented meat	Speck	"Speck, a renowned smoked and cured specialty, is predominantly produced in alpine regions like North Tyrol (Austria). To create speck, pork meat is immersed in a solution with curing salts for about 3 to 4 weeks. Subsequently, the meat is cold-smoked periodically with wood smoke for 6 to 8 weeks. Following this, the speck is matured in well-ventilated chambers at temperatures of 10-15 °C for an average of 3-6 months. In industrial-scale production, starter cultures are not used; instead, theindigenous mycobiota  are relied upon for spontaneous fermentation."	swine	pork meat 	"(Peintner et al., 2000) https://doi.org/10.4315/0362-028X-63.10.1399"		 
Europe	Eastern Europe (151)	100	Bulgaria	Balkans	cheese	bjalo salamureno sirene (Sirene)	"Sirene, also known as Bulgarian feta or white brine sirene, is a cheese traditionally made from goat's milk but now mostly produced from cow's milk, sheep's milk, or a combination of these milks. It has a tender, wet, and crumbly texture, with a lemony flavor. Sirene is popular not only in Bulgaria but also in Macedonia, Romania, Albania, and Greece."	"goat milk, sheep milk, cow milk"	"traditionally goat milk, today sheep and cow's milk"		"https://www.cheese.com/sirene/ , https://www.tasteatlas.com/sirene"	didn't found scientific literature or bulgarian government website
Europe	Southern Europe (039)	705	Slovenia	Balkans	dairy product	"Kislo mleko (slovenian term, meaning ""soured milk"")"	Kislo mleko is naturally fermented milk product. 	cow milk	raw cow milk		https://www.yogurtathome.com/single-post/2020/04/14/fermented-milk-products-from-all-over-the-world-e2-80-a2-kislo-mleko	didn't found scientific literature or slovenian government website
Asia	Central Asia (143)	398	Kazakhstan	-	yogurt - dairy product	Ayran	"Ayran is the traditional yogurt of Kazakhstan. It is a semi-solid fermented milk product. For its production cow, sheep or goat milk are use. At the beginning the milk is boiled, then is cooled to 30-35 °C and a starter colture for the fermentation is added. The fermentation lasts 7-10 hours at room temperature. In many other countries of the Balkans, Central Asia and Caucasus a famous drink also called Ayran is commonly consumed. It is made from yogurt with water and salt.. "	"goat milk, sheep milk, cow milk "	"cow milk, sheep milk, or goat milk"	"Zhadyra, S., Han, X., Anapiyayev, B. B., Tao, F., & Xu, P. (2021). Bacterial diversity analysis in Kazakh fermented milks Shubat and Ayran by combining culture-dependent and culture-independent methods. LWT, 141, 110877. https://doi.org/10.1016/J.LWT.2021.110877"		
Asia	Eastern Asia (030)	156	China	Beijing	fermented legumes	Douzhi	"Douzhi is one of  the most famous Chinese traditional foods. It is made from mung beans and is a soymilk-like product. It has slightly sour taste with an egg-like, or old socks like smell. It also has medical value. During its production fermentation occurs."	mung bean	mung beans (Vigna radiate)	"Ding, Y. Z., Zhang, S. Y., Liu, P., Yuan, W., Liang, J. Y., Zhao, Z., & Zhang, Y. D. (2009). Microbiological and biochemical changes during processing of the traditional chinese food douzhi. Food Control, 20(12), 1086–1091. https://doi.org/10.1016/J.FOODCONT.2009.02.005"		
Europe	Western Europe (155)	056	Belgium		cheese	Cabriolait	Made in Belgium from raw goat milk. 	goat milk	raw goat milk	Rossana Coda		no literature found
Europe	Western Europe (155)	056	Belgium	Herve	cheese	Herve	"An aged cheese made from unpasteurized cow's milk. It is traditionally aged in humid caves. Herve cheese is a soft cheese with a washed rind, crafted from either raw or pasteurized milk. It boasts a firm, smooth, and creamy texture, with a minimum fat content of 45%. The production process involves combining rennet, microorganisms, and salt to transform the milk into Herve cheese. Originally, Herve cheese was made from raw milk, but later, for safety reasons concerning the possible presence of Listeria monocytogenes, a version using pasteurized milk was developed."	cow milk 	raw or pasteurized cow milk	"Delcenserie, V., Taminiau, B., Delhalle, L., Nezer, C., Doyen, P., Crevecoeur, S., Roussey, D., Korsak, N., & Daube, G. (2014). Microbiota characterization of a Belgian protected designation of origin cheese, Herve cheese, using metagenomic analysis. Journal of Dairy Science, 97(10), 6046–6056. https://doi.org/10.3168/JDS.2014-8225"		
Europe	Western Europe (155)	056	Belgium	Lummen	cheese	Karditsel in Lummen	"Apparently Belgium produces several goat cheeses, at the artisanal level and farm house level. Examples here: https://www.karditsel.be/kazen"	goat milk	raw goat milk	Rossana Coda	https://www.karditsel.be/	
Europe	Western Europe (155)	056	Belgium		beer	Lambic beer	"type of beer brewed in the Pajottenland region of Belgium southwest of Brussels and in Brussels itself. The characteristic of lambic beer compared to the classic beer is that they are exposed to wild type of yeasts native to the Zenne valley, which gives to the beer its characteristics flavour and aftertaste. "	"barley, wheat"	barley malt and wheat		https://en.wikipedia.org/wiki/Lambic	
Europe	Western Europe (155)	056	Belgium	Ghent (city)	cheese	Pas de Rouge	"Made from raw cow milk, the cheese has a reddish color due to bacteria. It is ripened for 6-8 weeks and has a buttery texture, with eyes through the body."	cow milk	raw cow milk	Rossana Coda	"https://www.tasteatlas.com/pas-de-rouge, https://hethinkelspel.be/eigen-makelij/#goud"	
Africa	western Africa (011)	204	Benin		alcoholic beverage	Gowé (Sifanu)	"Alcoholic.drink, cooked.slurry. Gowé is the main malted and fermented sorghum-based food commonly consumed in urban areas of Benin.  The fermentation substrate used for gowé production is a malted flour, resulting in a naturally sweet taste and a soft texture. In Benin's cities, gowé, also known as Sifanu, is typically sold as a cooked paste, which can be further diluted at home with cold water and milk, if desired, to create the final beverage."	sorghum	sorghum	"Tamang (2020), Vieira-Dalodé, G., Jespersen, L., Hounhouigan, J., Moller, P. L., Nago, C. M., & Jakobsen, M. (2007). Lactic acid bacteria and yeasts associated with gowé production from sorghum in Bénin. Journal of Applied Microbiology, 103(2), 342–349. https://doi.org/10.1111/J.1365-2672.2006.03252.X"		
Africa	western Africa (011)	204	Benin		alcoholic beverage	Tchoukoutou	"This is an opaque sorghum beer. Theis kind of beers are popular alcoholic beverages in Africa. Often there is a spontaneous and not controlled fermentation, and tipically the fermentation state is still active when the product is consumed. These beer are slightly sour, have a low content of alcohol and an hugh dry matter."	sorghum	red sorghum	"Tamang (2020), Kayodeacute, A., G, V. D., S, O. K., A, R. L., J, D. H., M, A. J. S. van B., & M, J. R. N. (2011). Diversity of yeasts involved in the fermentation of tchoukoutou, an opaque sorghum beer from Benin. African Journal of Microbiology Research, 5(18), 2737–2742. https://www.academia.edu/16601340/Diversity_of_yeasts_involved_in_the_fermentation_of_tchoukoutou_an_opaque_sorghum_beer_from_Benin"		
Africa	western Africa (011)	204	Benin		fermented cereal	Mawè	It is a traditional fermented cereal based product of Benin. It is a dehulled fermented maize					
Africa	Southern Africa (018)	072	Botswana		fermented cereal	Bogobe	"Fermented sorghum based porridge. To make a stiff porridge, dehulled sorghum meal is first fermented in water with a starter for 24 hours. After fermentation, the resulting slurry is cooked in boiling water for approximately 10-12 minutes."	sorghum	Sorghum	"Blandino et al (2003), Mohapatra, D., Kumar Tripathi, M., Deshpande, S., & H, S. R. (2017). Sorghum Fermentation for Nutritional Improvement. https://doi.org/10.22606/afse.2017.14005"		
Africa	Southern Africa (018)	072	Botswana		fermented cereal	Ting	"Ting is a culturally significant fermented sorghum product consumed in Southern Africa, particularly in Botswana. It is utilized to create porridges with varying consistencies and is traditionally made at the household level."	sorghum	Sorghum	"Soni, Dey (2014),  Kewuyemi, Y. O., Njobeh, P. B., Kayitesi, E., Adebiyi, J. A., Oyedeji, A. B., Adefisoye, M. A., & Adebo, O. A. (2020). Metabolite profile of whole grain ting (a Southern African fermented product) obtained using two strains of Lactobacillus fermentum. Journal of Cereal Science, 95, 103042. https://doi.org/10.1016/J.JCS.2020.103042, Sekwati-Monang, B., & Gänzle, M. G. (2011). Microbiological and chemical characterisation of ting, a sorghum-based sourdough product from Botswana. International Journal of Food Microbiology, 150(2–3), 115–121. https://doi.org/10.1016/J.IJFOODMICRO.2011.07.021"		
Americas (019)	South America (005)	076	Brazil	Minas Gerais	cheese	Queijo minas	"type of cheese that has been traditionally produced in the Brazilian state of Minas Gerais. In the production process , raw cows' milk is used along with commercial rennet and whey known as ""pingo."" Pingo is obtained from the whey collected after pressing the cheeses from the previous day and serves as a natural starter culture with a high abundance of native microorganisms. "	cow milk	raw cow milk	"de Souza, T. P., Evangelista, S. R., Passamani, F. R. F., Bertechini, R., de Abreu, L. R., & Batista, L. R. (2021). Mycobiota of Minas artisanal cheese: Safety and quality. International Dairy Journal, 120, 105085. https://doi.org/10.1016/J.IDAIRYJ.2021.105085"		
Americas (019)	South America (005)	076	Brazil	Kaingang Indians	fermented cereal	Jamin-bang	"Bread, cake-like. The Kaingang Indians of Brazil produce a fermented maize product using a traditional method. Maize is soaked in water, ground into a pulp, and then left to ferment for 3-6 days. The fermented mixture is shaped into flat cakes and baked. "	corn	Maize	"Blandino et al (2003), https://vdocuments.mx/chapter-18-glossary-of-indigenous-fermented-foods.html?page=1"		
