Continent	Region	Subregion	Country	Country_code	Category	Product	Original Name	Description	Raw material ontology	Raw material	Reference	Webpage reference
Asia	Southern Asia		India	356	fermented cereal	Aakhone,Axone		Aakhone,also known as axone,is a traditional fermented soybean dish produced by the Sema Naga community in Nagaland. The process involves soaking and cooking soybean seeds. The cooked beans are then wrapped in fresh leaves of banana,Phrynium pubinerve Blume (Marantaceae family),or Macaranga indica Wight (Euphorbiaceae family). This wrapped mixture is placed above the fireplace and left to ferment for a period of 5–7 days.	soybean	Soybean	"Soni,S.,& Dey,G. (2014). Perspectives on global fermented foods. British Food Journal,116(11),1767–1787. https://doi.org/10.1108/bfj-01-2014-0032,
Jyoti Prakash Tamang Naturally fermented ethnic soybean foods of India,Journal of Ethnic Foods,Volume 2,Issue 1,2015,Pages 8-17,ISSN 2352-6181,
Tamang,J. P. (2015). Naturally fermented ethnic soybean foods of India. Journal of Ethnic Foods,2(1),8–17. https://doi.org/10.1016/j.jef.2015.02.003"	
Africa	Sub-Saharan Africa	Western Africa	Nigeria	566	fermented roots	Abacha	Abacha	Abacha is otherwise known as African salad. it is made by fermenting peeled,washed and shredded cassava after which other supplementary ingredients such as vegetables,oil,fish,pepper,seasoning can be added	cassava root	cassava root	"Dike,K. S.,Okafor,C. P.,Ohabughiro,B. N.,Maduwuba,M. C.,Ezeokoli,O. T.,Ayeni,K. I.,C. M.,& Ezekiel,C. N. (2021). Analysis of bacterial communities of three cassava‐based traditionally fermented Nigerian foods ( abacha ,fufu and garri ). In Letters in Applied Microbiology (Vol. 74,Issue 3,pp. 452–461). Oxford University Press (OUP). https://doi.org/10.1111/lam.13621
"	https://en.wikipedia.org/wiki/Abacha_(food)
Asia	South-eastern Asia		Indonesia,Malaysia,Singapore	360,458,702	fermented vegetables	Acar		"Acar is a type of pickle made in Indonesia,Malaysia and Singapore. ""In Indonesia,acar is commonly made from small chunks of cucumber,carrot,shallot,young bamboo shoot,eggplant,chili,and occasionally pineapple and marinated in a sweet and sour solution of sugar and vinegar."" (Surono. 2016)"	cucumber,shallot,carrot,bamboo plant,eggplant	cumber,carrot,shallot,bamboo shoots,eggplant,chilli	Surono,I. S. (2016). Ethnic fermented Foods and beverages of Indonesia. In J. Tamang (Ed.) Ethnic Fermented Foods and Alcoholic Beverages of Asia (pp. 341–382). Springer India. https://doi.org/10.1007/978-81-322-2800-4_14	
Europe	Eastern Europe		Russian Federation,Ukraine	643,804	dairy product	Acidophiline		Fermented milk product. This product can be made from whole or skimmed milk and is sweetened. The starter culture of acidophiline consists primarily of Lactobacillus acidophilus and often kefir yeast. Acidophiline has been used to treat colitis,enterocolitis,dysentery and other intestinal diseases. 	cow milk	whole or skimmed cow milk	"Engst,W. (1986). Advances in the Microbiology and Biochemistry of Cheese and Fermented Milk. Herausgegeben von F. L. Davies und B. A. LAW. 260 Seiten,25 Abb.,28 Tab. Elsevier Applied Science Publishers Ltd,London,New York 1984.(Vol. 30,Issue 6,pp. 654–655). Wiley. https://doi.org/10.1002/food.19860300637
"	https://en.wikipedia.org/wiki/Acidophiline
Asia	Southern Asia		India	356	fermented cereal	Adai		Adai is a well known South Indian dish composed of rice and split legumes. The process involves thoroughly cleaning ten parts of rice along with three parts each of black gram dhal and red gram dhal. These ingredients are soaked in water for 2–3 hours,coarsely ground,and then left to ferment (2-3 hours in summer and overnight in winter).	rice,lentil	rice,black gram dhal and red gram dhal 	"Blandino,A.,Al-Aseeri,M.,Pandiella,S. S.,Cantero,D.,& Webb,C. (2003). Cereal-based fermented foods and beverages. Food Research International,36(6),527–543. https://doi.org/10.1016/s0963-9969(03)00009-7,
Kumari,Pandey,Raj,Gupta,Roy,Attri,B. L.,Neopany,B.,Moktan,Sunil,C. K.,Janveja,C.,Angchok,Mueen-Ud-Din,G.,Vyas,Kabir,J.,Targais,K.,Reddy,L. V. A.,Palni,L. S.,Swain,M. R.,… Joshi,V. K. (2016). Cereal-Based Non-Alcoholic indigenous fermented foods. In V. K. Joshi (Ed.),Indigenous Fermented Foods of South Asia (1st ed.,pp. 353–429). https://doi.org/10.1201/b19214-13"	
Africa	Sub-Saharan Africa	Western Africa	Benin	204	fermented legumes	Afitin	afitin	Afitin is a condiment made from african locust bean  and used in Benin as a flavoring agent for sauces,soups and other dishes,not only in villages but also in urban areas. It is characterized by a strong odour which is the main criterion used by consumers to appreciate the quality of the condiment.	african locust bean	african locust bean	"AZOKPOTA,P.,HOUNHOUIGAN,D.,& NAGO,M. (2006). Microbiological and chemical changes during the fermentation of African locust bean (Parkia biglobosa) to produce afitin,iru and sonru,three traditional condiments produced in Benin. In International Journal of Food Microbiology (Vol. 107,Issue 3,pp. 304–309). Elsevier BV. https://doi.org/10.1016/j.ijfoodmicro.2005.10.026
"	https://fr.wikipedia.org/wiki/Afitin
Africa	Sub-Saharan Africa	Western Africa	Nigeria	566	alcoholic beverage	Agadagidi	Agadagidi	Agadagidi,a cloudy effervescent sweet-sour taste typical African traditional alcoholic beverage is made from overripe bananas and plantains through fermentation.	plaintain,banana	plaintain,banana	"Sanni,A. I.,& Oso,B. A. (1988). The production of Agadagidi — A Nigerian fermented beverage. In Food / Nahrung (Vol. 32,Issue 4,pp. 319–326). Wiley. https://doi.org/10.1002/food.19880320403

Oriola,O.,Boboye,B.,& Adetuyi,F. (2017). Microorganisms Associated with the Production of a Nigerian Fermented Beverage,‘Agadagidi.’ In Microbiology Research Journal International (Vol. 20,Issue 6,pp. 1–9). Sciencedomain International. https://doi.org/10.9734/mrji/2017/32654
"	
Africa	Sub-Saharan Africa	Western Africa	Ghana,Togo,Benin	288,768,204	fermented roots	Agbelima		Agbelima is a traditional fermented cassava product,and its production involves the use of a local inoculum known as 'Kudeme.' This inoculum primarily consists of Bacillus species and lactic acid bacteria. The fermentation reduces the toxicity of cassava roots (cyanogenic glucosides),changes the texture and adds aroma to the cassava dough. 	cassava root	Cassava	"Soni,S.,& Dey,G. (2014). Perspectives on global fermented foods. British Food Journal,116(11),1767–1787. https://doi.org/10.1108/bfj-01-2014-0032,
Dziedzoave,N.,Ellis,W. O.,Oldham,J.,& Oduro,I. (2000). Optimizing agbelima production: varietal and fermentation effect on product quality. Food Research International,33(10),867–873. https://doi.org/10.1016/s0963-9969(00)00106-x,
Amoa-Awua,W. K.,Frisvad,J. C.,Sefa‐Dedeh,& Jakobsen,M. (1997). The contribution of moulds and yeasts to the fermentation of ‘agbelima’ cassava dough. Journal of Applied Microbiology,83(3),288–296. https://doi.org/10.1046/j.1365-2672.1997.00227.x,
Amoa-Awua,Appoh,F. E.,M. (1996). Lactic acid fermentation of cassava dough into agbelima. International Journal of Food Microbiology,31(1–3),87–98. https://doi.org/10.1016/0168-1605(96)00967-1"	
Asia	South-eastern Asia		Philippines	608	fermented meat	Agos-os		Fermented pork and sweet potatoes. Equal parts of cooked chopped pieces of a pig head and steamed and mashed sweet potatoes are mixed and left to ferment in a sealed jar for at least a week. From Visayas	sweet potato,swine	Sweet potato,ground pig's head	Sanchez,P. C. (2009). Philippine fermented foods. Quezon City,Philippines: University of the Philippines Press.	
Asia,Europe	Eastern Asia,Central Asia,Eastern Europe		Mongolia,Kazakhstan,Kyrgyzstan,Russian Federation	496,398,417,643	dairy product	Airag		Airag is a popular beverage from Mongolia,Kazakhstan,Kyrgyzstan and some Central Asian regions of Russia. The traditional Mongolian Airag is made of mares' milk. A lactic acid bacteria fermentation followed by alcoholic fermentation by yeast creates the product with small amounts of carbon dioxide and alcohol. 	horse milk,camel milk	Mare milk or camel milk	Watanabe,K.,Fujimoto,J.,Sasamoto,M. et al. Diversity of lactic acid bacteria and yeasts in Airag and Tarag,traditional fermented milk products of Mongolia. World J Microbiol Biotechnol 24,1313–1325 (2008). https://doi.org/10.1007/s11274-007-9604-3	
Africa	Sub-Saharan Africa	Western Africa	Benin	204	fermented cereal	Akpan,akassa		"Akpan is a traditional yoghurt-like product from Benin. It is prepared by steeping cereal grains in hot water,wet milling,sieving and fermenting for 24h. The starchy product called ogi is made into a slurry and slightly cooked. The final product is a flowing gruel. It can be sweetened by adding sugar,milk and ice.
"	"corn,sorghum,cow milk,sugarcane plant
"	maize,sorghum,cow milk,sugar	"Sacca et al. (2012); Guillon et al. (2015)
Sacca,C.,Adinsi,L.,Anihouvi,V.,Akissoe,N.,Dalode,G.,Mestres,Jacobs,A.,Dlamini,Pallet,D.,and& Hounhouigan,D. J. 2012. Production,consumption,and quality attributes of Akpan – a yoghurt-like cereal product from West Africa. Food Chain 2(2). https://doi.org/10.3362/2046-1887.2012.018
Gullón,B.,Pereira,M.,Hounhouigan,J.,Alonso,J. L.,and Pintado,M. 2015. Assessment of prebiotic potential of Akpan-yoghurt-like product and effects on the human intestinal microbiota. Journal of Functional Foods 19: 545-553. 
https://doi.org/10.1016/j.jff.2015.09.026"	https://en.wikipedia.org/wiki/Akpan_(dessert)
Europe	Southern Europe		Portugal	620	fermented meat	Alheira		Dry/semi-dry,sausage. “Alheira” is a traditional fermented meat product typical of the Northern regions (Trás-os-Montes) in Portugal.Alheira is produced from a combination of pork meat,pork lard,poultry,wheat bread and olive oil mixed with salt,garlic and spices. The paste is stuffed in casings made from animal products and is smoked for a maximum of 8 days. Alheira contains mainly lactic acid bacteria and Micrococcaceae.	swine,chicken,wheat,olive,garlic	Pork meat,pork lard,poultry,wheat bread and olive oil mixed with salt,garlic and spices.	Albano,H.,Todorov,S. D.,Van Reenen,C. A.,Hogg,T.,Dicks,L. M. T.,& Teixeira,P. (2007). Characterization of two bacteriocins produced by Pediococcus acidilactici isolated from “Alheira”,a fermented sausage traditionally produced in Portugal. International Journal of Food Microbiology,116(2),239–247. https://doi.org/10.1016/j.ijfoodmicro.2007.01.011	Wikipedia contributors. (2023,August 27). Alheira. Wikipedia. https://en.wikipedia.org/wiki/Alheira
Africa	Sub-Saharan Africa	Eastern Africa	Kenya	404	dairy product	Amabere amaruranu		Amambere amaruranu is a fermented sour milk drink made with cow milk,popular among members of Abagusii from the Kisii highlands in Kenya. The raw milk is boiled for 10 minutes,cooled down and poured in a gourd (made of the hollow fruit of Lagenaria) to ferment at ambient temperature. The product is a white,grain-like acidic drink. 	cow milk		Nyambane,B.,Thari,W. M.,Wangoh,J.,& Njage,P. M. K. (2014). Lactic acid bacteria and yeasts involved in the fermentation of amabere amaruranu,a Kenyan fermented milk. In Food Science &amp; Nutrition (Vol. 2,Issue 6,pp. 692–699). Wiley. https://doi.org/10.1002/fsn3.162	
Europe	Southern Europe		Italy	380	wine	Amarone della Valpolicella		Amarone della Valpolicella (DOCG) is a dry red wine from the Veneto region in Italy. Traditionally,the harvested ripe grapes are dried on wooden racks for around 120 days before the wine is produced. 	red grape	grapes	Robinson,J. (2006). The Oxford companion to wine. OUP Oxford	Wikipedia contributors. (2023,March 18). Amarone. Wikipedia. https://en.wikipedia.org/wiki/Amarone
Africa	Sub-Saharan Africa	Southern Africa	South Africa	710	yogurt	Amasi		Amasi is a traditional South African dairy product made at household level from unpasteurised milk. It is made from full cream milk left in the calabash or clay pots which are used to store the milk. The fresh raw milk is left in the cointainer to ferment for 2-3 days. The product is an unsweetened type of curd with a smooth texture like yoghurt. Amasi is traditionally consumed by numerous tribes. It is currently produced commercially as well,by using starter cultures. 	cow milk	milk	"Maleke,M. S.,Adefisoye,M. A.,Doorsamy,W.,& Adebo,O. A. (2021). Processing,nutritional composition and microbiology of amasi: A Southern African fermented milk product. In Scientific African (Vol. 12,p. e00795). Elsevier BV. https://doi.org/10.1016/j.sciaf.2021.e00795
"	https://en.wikipedia.org/wiki/Amasi#:~:text=Amasi%20is%20traditionally%20prepared%20by,acquires%20a%20sharp%20acidic%20taste.
Africa	Sub-Saharan Africa	Eastern Africa	Burundi	108	dairy product	Amateregua		Amateregwa is a by-product of making Amavuta (Butter) from Urubu (fermented milk). It has a smoother appearance and a thinner consistency compared to butter,but thicker than fresh milk. All categories of people consume it at household level. 	cow milk	raw cow milk	Aloys,N.,& Angeline,N. (2009). Traditional fermented foods and beverages in Burundi. Food Research International,42(5–6),588–594. https://doi.org/10.1016/j.foodres.2009.02.021 	
Africa	Sub-Saharan Africa	Eastern Africa	Burundi	108	dairy product	Amavuta		Is a traditional fermented dairy product of Burundi. In the preparation of amavuta in Burundi,ergo (sour milk) is churned in various vessels. During the production of urubu ,butter is removed from the soured milk that has been churned. Churning involves rocking the container (gourds or clay pots) back and forth until butter granules form. Frequently,a straw is inserted through the vent into the churn. When small grains of amavuta adhere to the straw surface,the break point is reached. 	cow milk	raw cow milk	Aloys,N.,& Angeline,N. (2009). Traditional fermented foods and beverages in Burundi. Food Research International,42(5–6),588–594. https://doi.org/10.1016/j.foodres.2009.02.021	
Asia	Eastern Asia		Japan	392	fermented cereal	Amazake	甘酒	Amazake is a traditional japanese beverage made from rice that is fermented with Aspergillus oryzae and other koji molds. Depending on the recipe it is sweet and more or less alcoholic. 	rice	rice	Kurahashi,A. (2021). Ingredients,functionality,and safety of the Japanese traditional sweet drink amazake. Journal of Fungi,7(6),469.	Wikipedia contributors. (2023u,August 7). Amazake. Wikipedia. https://en.wikipedia.org/wiki/Amazake
Asia	Western Asia		Cyprus	196	cheese	Anari	"Greek: αναρή
Turkish: nor"	Anari is a Cypriot whey cheese that is a side product from Halloumi cheesemaking. 	goat milk,sheep milk	goat milk,sheep milk	"Donnelly,C. W. (2016). The Oxford companion to cheese. Oxford University Press.
"	Wikipedia contributors. (2023c,April 27). Anari cheese. Wikipedia. https://en.wikipedia.org/wiki/Anari_cheese
Asia	Southern Asia		India	356	fermented cereal	Anarshe		Anarshe is a sweetened snack made from fermented rice using lactic acid bacteria. It is a popular rice-based breakfast option in India.	rice 	Rice	"Blandino,A.,Al-Aseeri,M.,Pandiella,S. S.,Cantero,D.,& Webb,C. (2003). Cereal-based fermented foods and beverages. Food Research International,36(6),527–543. https://doi.org/10.1016/s0963-9969(03)00009-7,
Das,Raychaudhuri,U.,& Chakraborty,R. (2012). Cereal based functional food of Indian subcontinent: a review. Journal of Food Science and Technology,49(6),665–672. https://doi.org/10.1007/s13197-011-0474-1"	
