,Country_code,Category,Product,Raw_material_ontology,Level0,Level1,Level2,Level4
0,"['894', ' 178']",fermented_cereal,Munkoyo,corn,Materials,cereal_food,zea,corn
1,['894'],fermented_cereal,Chibwantu,corn,Materials,cereal_food,zea,corn
2,['204'],fermented_cereal,Mawè,corn,Materials,cereal_food,zea,corn
3,['076'],fermented_cereal,Jamin-bang,corn,Materials,cereal_food,zea,corn
4,['170'],alcoholic_beverage,Colombian_Champus,corn,Materials,cereal_food,zea,corn
5,['178'],fermented_cereal,Poto_poto,corn,Materials,cereal_food,zea,corn
6,['231'],beer,Tella,corn,Materials,cereal_food,zea,corn
7,['288'],fermented_cereal,Banku,corn,Materials,cereal_food,zea,corn
8,"['288', ' 384', ' 768', ' 204', ' 328', ' 388']",fermented_cereal,Kenkey,corn,Materials,cereal_food,zea,corn
9,['356'],alcoholic_beverage,Mingiri,corn,Materials,cereal_food,zea,corn
10,['356'],alcoholic_beverage,Lohpani,corn,Materials,cereal_food,zea,corn
11,['356'],alcoholic_beverage,Bhangchang,corn,Materials,cereal_food,zea,corn
12,"['356', ' 524']",alcoholic_beverage,Makai_ko_jaanr,corn,Materials,cereal_food,zea,corn
13,['604'],fermented_roots,Tocosh,corn,Materials,cereal_food,zea,corn
14,"['051', ' 792']",cheese,Motal,sheep_milk,Materials,dairy_products,milk,sheep_milk
15,['100'],cheese,Tcherni_Vit_Green_Cheese,sheep_milk,Materials,dairy_products,milk,sheep_milk
16,['191'],cheese,Pag_Island_Cheese,sheep_milk,Materials,dairy_products,milk,sheep_milk
17,['196'],cheese,Halloumi,sheep_milk,Materials,dairy_products,milk,sheep_milk
18,"['703', ' 642', ' 616']",cheese,Bryndza,sheep_milk,Materials,dairy_products,milk,sheep_milk
19,['250'],cheese,Basque_Pyrenees_Mountain_Cheeses,sheep_milk,Materials,dairy_products,milk,sheep_milk
20,['250'],cheese,Faisselle,sheep_milk,Materials,dairy_products,milk,sheep_milk
21,['250'],cheese,Roquefort,sheep_milk,Materials,dairy_products,milk,sheep_milk
22,['300'],cheese,Feta,sheep_milk,Materials,dairy_products,milk,sheep_milk
23,['300'],fermented_cereal,Trahana,sheep_milk,Materials,dairy_products,milk,sheep_milk
24,['380'],cheese,Pecorino_Romano,sheep_milk,Materials,dairy_products,milk,sheep_milk
25,['380'],cheese,Murazzano,sheep_milk,Materials,dairy_products,milk,sheep_milk
26,['380'],cheese,"Bros,_Bross,_Brus,_Bruss,_Bruzzo",sheep_milk,Materials,dairy_products,milk,sheep_milk
27,['380'],cheese,Caciocavallo,sheep_milk,Materials,dairy_products,milk,sheep_milk
28,['380'],cheese,Casu_martzu,sheep_milk,Materials,dairy_products,milk,sheep_milk
29,['380'],cheese,Pecorino_Sardo,sheep_milk,Materials,dairy_products,milk,sheep_milk
30,['380'],cheese,Pecorino_Siciliano,sheep_milk,Materials,dairy_products,milk,sheep_milk
31,['380'],cheese,Pecorino_Toscano,sheep_milk,Materials,dairy_products,milk,sheep_milk
32,"['051', ' 792']",cheese,Motal,cow_milk,Materials,dairy_products,milk,cow_milk
33,['056'],cheese,Pas_de_Rouge,cow_milk,Materials,dairy_products,milk,cow_milk
34,['076'],cheese,Queijo_minas,cow_milk,Materials,dairy_products,milk,cow_milk
35,['100'],yogurt,Bulgarian_yoghurt,cow_milk,Materials,dairy_products,milk,cow_milk
36,['108'],dairy_product,Amateregua,cow_milk,Materials,dairy_products,milk,cow_milk
37,['108'],dairy_product,Urubu,cow_milk,Materials,dairy_products,milk,cow_milk
38,"['643', ' 804']",dairy_product,Smetana,cow_milk,Materials,dairy_products,milk,cow_milk
39,['196'],cheese,Halloumi,cow_milk,Materials,dairy_products,milk,cow_milk
40,['203'],cheese,Olomouc_cheese,cow_milk,Materials,dairy_products,milk,cow_milk
41,['208'],cheese,Dana_Blu,cow_milk,Materials,dairy_products,milk,cow_milk
42,"['703', ' 642', ' 616']",cheese,Bryndza,cow_milk,Materials,dairy_products,milk,cow_milk
43,['818'],dairy_product,Laban_rayeb,cow_milk,Materials,dairy_products,milk,cow_milk
44,['818'],fermented_cereal,Egyptian_Kishk,cow_milk,Materials,dairy_products,milk,cow_milk
