,level1,level2,level3,leaf
0,Materials,cereal_food,barley,
1,Materials,cereal_food,buckwheat,
2,Materials,cereal_food,corn,white_corn
2,Materials,cereal_food,corn,yellow_corn
2,Materials,cereal_food,corn,blue_corn
2,Materials,cereal_food,corn,purple_corn
3,Materials,cereal_food,malt,
4,Materials,cereal_food,oat,
5,Materials,cereal_food,quinoa,
6,Materials,cereal_food,rice,
7,Materials,cereal_food,rye,
8,Materials,cereal_food,sesame,
9,Materials,cereal_food,sorghum,
10,Materials,cereal_food,teff_grain,
11,Materials,cereal_food,triticale,
12,Materials,cereal_food,wheat,
13,Materials,dairy_products,equine_dairy_product,donkey
13,Materials,dairy_products,equine_dairy_product,horse
14,Materials,dairy_products,milk,buffalo_milk
14,Materials,dairy_products,milk,cow_milk
14,Materials,dairy_products,milk,goat_milk
14,Materials,dairy_products,milk,sheep_milk
14,Materials,dairy_products,milk,yak_milk
14,Materials,dairy_products,milk,cammel_milk
14,Materials,dairy_products,milk,dzo_milk
15,Materials,dairy_products,whey_product,
16,Materials,eggs,amphibian_egg,
17,Materials,eggs,bird_egg,
18,Materials,eggs,fish_egg,
19,Materials,eggs,reptile_egg,
20,Materials,fruits,aggregate_fruit,black_raspberry
20,Materials,fruits,aggregate_fruit,custard_apple
20,Materials,fruits,aggregate_fruit,raspberry
20,Materials,fruits,aggregate_fruit,strawberry
21,Materials,fruits,berry_fruit,cavendish_banana
21,Materials,fruits,berry_fruit,ensete
21,Materials,fruits,berry_fruit,avocado
21,Materials,fruits,berry_fruit,bell_pepper
21,Materials,fruits,berry_fruit,black_currant
21,Materials,fruits,berry_fruit,blueberry
21,Materials,fruits,berry_fruit,bramble_berry
21,Materials,fruits,berry_fruit,cranberry
21,Materials,fruits,berry_fruit,eggplant
21,Materials,fruits,berry_fruit,elderberry
21,Materials,fruits,berry_fruit,fuzzy_kiwifruit
21,Materials,fruits,berry_fruit,goseberry
21,Materials,fruits,berry_fruit,grape
21,Materials,fruits,berry_fruit,guava
21,Materials,fruits,berry_fruit,hesperidium_fruit
21,Materials,fruits,berry_fruit,huckleberry
21,Materials,fruits,berry_fruit,jalapeño_pepper
21,Materials,fruits,berry_fruit,java_apple
21,Materials,fruits,berry_fruit,lingonberry
21,Materials,fruits,berry_fruit,mamey_apple
21,Materials,fruits,berry_fruit,miniature_tomato
21,Materials,fruits,berry_fruit,miracle_berry
21,Materials,fruits,berry_fruit,naranjilla
21,Materials,fruits,berry_fruit,natal_plum
21,Materials,fruits,berry_fruit,oheloberry
21,Materials,fruits,berry_fruit,olallieberry
21,Materials,fruits,berry_fruit,otahite_gooseberry
21,Materials,fruits,berry_fruit,pawpaw
21,Materials,fruits,berry_fruit,pepo_fruit
21,Materials,fruits,berry_fruit,pepper
21,Materials,fruits,berry_fruit,persimmon
21,Materials,fruits,berry_fruit,pimiento
21,Materials,fruits,berry_fruit,pink_peppercorn
21,Materials,fruits,berry_fruit,plantain
21,Materials,fruits,berry_fruit,plum_tomato
21,Materials,fruits,berry_fruit,pome_fruit
21,Materials,fruits,berry_fruit,pomegranate
21,Materials,fruits,berry_fruit,red_currant
21,Materials,fruits,berry_fruit,red_grape
21,Materials,fruits,berry_fruit,sacred_pear
21,Materials,fruits,berry_fruit,sea_buckthorn_berry
21,Materials,fruits,berry_fruit,squashberry
21,Materials,fruits,berry_fruit,star_fruit
21,Materials,fruits,berry_fruit,sweet_green_bell_pepper
21,Materials,fruits,berry_fruit,sweet_orange_bell_pepper
21,Materials,fruits,berry_fruit,sweet_red_bell_pepper
21,Materials,fruits,berry_fruit,sweet_yellow_bell_pepper
21,Materials,fruits,berry_fruit,tamarillo
21,Materials,fruits,berry_fruit,tomatillo
21,Materials,fruits,berry_fruit,tomato
21,Materials,fruits,berry_fruit,white_grape
21,Materials,fruits,berry_fruit,white_peppercorn
21,Materials,fruits,berry_fruit,wood_apple
21,Materials,fruits,berry_fruit,apple
21,Materials,fruits,berry_fruit,cucumber
22,Materials,fruits,capsule_fruit,coccarium_capsule_fruit
22,Materials,fruits,capsule_fruit,loculicidal_capsule_fruit
22,Materials,fruits,capsule_fruit,poricidal_capsule_fruit
22,Materials,fruits,capsule_fruit,septicidal_capsule_fruit
23,Materials,fruits,drupe_fruit,acerola
23,Materials,fruits,drupe_fruit,almond
23,Materials,fruits,drupe_fruit,apricot
23,Materials,fruits,drupe_fruit,arabica_coffee_bean
23,Materials,fruits,drupe_fruit,bayberry
23,Materials,fruits,drupe_fruit,black_walnut
23,Materials,fruits,drupe_fruit,cherry
23,Materials,fruits,drupe_fruit,date
23,Materials,fruits,drupe_fruit,hickory_nut
23,Materials,fruits,drupe_fruit,italian_prune_plum
23,Materials,fruits,drupe_fruit,jubebe_fruit
23,Materials,fruits,drupe_fruit,longan
23,Materials,fruits,drupe_fruit,lychee
23,Materials,fruits,drupe_fruit,mango
23,Materials,fruits,drupe_fruit,nectarine
23,Materials,fruits,drupe_fruit,olive
23,Materials,fruits,drupe_fruit,peach
23,Materials,fruits,drupe_fruit,pecan
23,Materials,fruits,drupe_fruit,pili_nut
23,Materials,fruits,drupe_fruit,pistachio_nut
23,Materials,fruits,drupe_fruit,plum
23,Materials,fruits,drupe_fruit,prune
23,Materials,fruits,drupe_fruit,rambutan
23,Materials,fruits,drupe_fruit,sour_cherry
23,Materials,fruits,drupe_fruit,sumac_fruit
23,Materials,fruits,drupe_fruit,sweet_cherry
23,Materials,fruits,drupe_fruit,walnut
23,Materials,fruits,drupe_fruit,yellow_plum
24,Materials,fruits,fruit_multiple,breadfruit
24,Materials,fruits,fruit_multiple,fig
24,Materials,fruits,fruit_multiple,jackfruit
24,Materials,fruits,fruit_multiple,mulberry
24,Materials,fruits,fruit_multiple,pineapple
25,Materials,legumes_seeds,alfalfa,
26,Materials,legumes_seeds,bambara,
27,Materials,legumes_seeds,bean,adzuki_beans
27,Materials,legumes_seeds,bean,broad_beans
27,Materials,legumes_seeds,bean,cowpea
27,Materials,legumes_seeds,bean,cranberry_bean
27,Materials,legumes_seeds,bean,jack_bean
27,Materials,legumes_seeds,bean,kidney
27,Materials,legumes_seeds,bean,pinto_bean
27,Materials,legumes_seeds,bean,lima_bean
27,Materials,legumes_seeds,bean,lupin_bean
27,Materials,legumes_seeds,bean,moth_bean
27,Materials,legumes_seeds,bean,mung_bean
27,Materials,legumes_seeds,bean,soybean
27,Materials,legumes_seeds,bean,velvet_bean
27,Materials,legumes_seeds,bean,wax_bean
27,Materials,legumes_seeds,bean,white_bean
27,Materials,legumes_seeds,bean,hyacinth_bean
27,Materials,legumes_seeds,bean,tonka_bean
27,Materials,legumes_seeds,bean,black_gram_bean
27,Materials,legumes_seeds,bean,african_locust_bean
28,Materials,legumes_seeds,lentil,
29,Materials,legumes_seeds,nuts,areca_nut
29,Materials,legumes_seeds,nuts,bambara_groundnut
29,Materials,legumes_seeds,nuts,brazilnut
29,Materials,legumes_seeds,nuts,ginkgo_nut
29,Materials,legumes_seeds,nuts,kola_nut
29,Materials,legumes_seeds,nuts,macadamia_nut
29,Materials,legumes_seeds,nuts,peanut
29,Materials,legumes_seeds,nuts,pine_nut
29,Materials,legumes_seeds,nuts,shea_nut
29,Materials,legumes_seeds,nuts,spanish_peanut
29,Materials,legumes_seeds,nuts,coconut
30,Materials,legumes_seeds,peas,alaska_pea
30,Materials,legumes_seeds,peas,catjang_pea
30,Materials,legumes_seeds,peas,pea
30,Materials,legumes_seeds,peas,pigeon_pea
30,Materials,legumes_seeds,peas,sweet_pea
31,Materials,legumes_seeds,seeds,acacia_seed
31,Materials,legumes_seeds,seeds,alfalfa_seed
31,Materials,legumes_seeds,seeds,amaranth_seed
31,Materials,legumes_seeds,seeds,anise_seed
31,Materials,legumes_seeds,seeds,cardamom
31,Materials,legumes_seeds,seeds,charoli_seed
31,Materials,legumes_seeds,seeds,chia_seed
31,Materials,legumes_seeds,seeds,chickpea
31,Materials,legumes_seeds,seeds,cocoa_bean
31,Materials,legumes_seeds,seeds,cumin_seed
31,Materials,legumes_seeds,seeds,dill_seed
31,Materials,legumes_seeds,seeds,egusi_seed
31,Materials,legumes_seeds,seeds,fenugreek_seed
31,Materials,legumes_seeds,seeds,corn_kernel
31,Materials,legumes_seeds,seeds,finger_millet_seed
31,Materials,legumes_seeds,seeds,flaxseed
31,Materials,legumes_seeds,seeds,fruit_seed
31,Materials,legumes_seeds,seeds,indian_mustard_seed
31,Materials,legumes_seeds,seeds,lotus_seed
31,Materials,legumes_seeds,seeds,melon_seed
31,Materials,legumes_seeds,seeds,mustard_seed
31,Materials,legumes_seeds,seeds,okra_seed
31,Materials,legumes_seeds,seeds,rapeseed
31,Materials,legumes_seeds,seeds,river_tamarind_seed
31,Materials,legumes_seeds,seeds,seed
31,Materials,legumes_seeds,seeds,sunflower_seed
31,Materials,legumes_seeds,seeds,vanilla_bean
31,Materials,legumes_seeds,seeds,vetch_seed
31,Materials,legumes_seeds,seeds,white_fonio_seed
31,Materials,legumes_seeds,seeds,locust_bean
31,Materials,legumes_seeds,seeds,millet_seed
31,Materials,legumes_seeds,seeds,finger_millet_seed
31,Materials,legumes_seeds,seeds,bengalgram
32,Materials,meat,amphibian,
33,Materials,meat,bird,chicken
33,Materials,meat,bird,auk
34,Materials,meat,blood_food_product,
35,Materials,meat,crustecean,
36,Materials,meat,fish,
37,Materials,meat,mammal,bovine
37,Materials,meat,mammal,deer
37,Materials,meat,mammal,equine
37,Materials,meat,mammal,swine
37,Materials,meat,mammal,sheep
37,Materials,meat,mammal,rabbit
37,Materials,meat,mammal,bighorn_sheep
37,Materials,meat,mammal,seal
37,Materials,meat,mammal,walrus
38,Materials,meat,reptile,
39,Materials,non_fruit_carbohydrates,honey,
40,Materials,vegetables,floret,artichoke
40,Materials,vegetables,floret,cauliflower
40,Materials,vegetables,floret,jerusalem_artichoke
41,Materials,vegetables,head_vegetable,broccoflower
41,Materials,vegetables,head_vegetable,broccoli
41,Materials,vegetables,head_vegetable,brussels
41,Materials,vegetables,head_vegetable,cabbage
41,Materials,vegetables,head_vegetable,endive
41,Materials,vegetables,head_vegetable,lettuce
42,Materials,vegetables,leafy_vegetable,taro_leaves
42,Materials,vegetables,leafy_vegetable,mustard_leaves
42,Materials,vegetables,leafy_vegetable,gesho_leaves
42,Materials,vegetables,leafy_vegetable,rhododendron_leaves
42,Materials,vegetables,leafy_vegetable,leafless_mistletoe_leaves
42,Materials,vegetables,leafy_vegetable,magane-saag_leaves
43,Materials,vegetables,mallows_plant,roselle
44,Materials,vegetables,root,beet
44,Materials,vegetables,root,carrot
44,Materials,vegetables,root,casava
44,Materials,vegetables,root,devils_tongue
44,Materials,vegetables,root,horseradish
44,Materials,vegetables,root,jicama_tuber
44,Materials,vegetables,root,leek
44,Materials,vegetables,root,okazi_tuber
44,Materials,vegetables,root,red_onion
44,Materials,vegetables,root,yellow_onion
44,Materials,vegetables,root,white_onion
44,Materials,vegetables,root,welsh_onion
44,Materials,vegetables,root,parsnip
44,Materials,vegetables,root,radish
44,Materials,vegetables,root,rutabaga
44,Materials,vegetables,root,scallion
44,Materials,vegetables,root,shallot
44,Materials,vegetables,root,sugar_beet
44,Materials,vegetables,root,taro_root
44,Materials,vegetables,root,water_chesnut
44,Materials,vegetables,root,yam
44,Materials,vegetables,root,cassava_root
44,Materials,vegetables,root,rhynchosia_root
44,Materials,vegetables,root,turnip
44,Materials,vegetables,root,tumeric
44,Materials,vegetables,root,potato
44,Materials,vegetables,root,radish_roots
45,Materials,vegetables,sap,coconut_palm_sap
45,Materials,vegetables,sap,date_palm_sap
46,Materials,vegetables,stem_or_spear_vegetable,bamboo_plant
46,Materials,vegetables,stem_or_spear_vegetable,bamboo_stem
46,Materials,vegetables,stem_or_spear_vegetable,sugarcane_plant
