,Category,Product,Country
0,yoghurt,Bulgarian yoghurt,Bulgaria
1,yoghurt,Ergo,Ethiopia
2,yoghurt,Viili,Finland
2,yoghurt,Viili,Sweden
3,yoghurt,Nunu,Ghana
3,yoghurt,Nunu,Nigeria
3,yoghurt,Nunu,Burkina Faso
4,yoghurt,Ayran,nan
5,yoghurt,Skyr,Iceland
6,yoghurt,Lassi,India
7,yoghurt,Dahi,India
7,yoghurt,Dahi,Nepal
7,yoghurt,Dahi,Sri Lanka
7,yoghurt,Dahi,Bangladesh
7,yoghurt,Dahi,Pakistan
8,wine,Schilfwein,Austria
9,wine,Icewine,Canada
10,wine,Floc de Gascogne,France
11,wine,Maury,France
12,wine,Champagner,France
13,wine,Sauternes,France
14,wine,Monbazillac,France
15,wine,Trockenbeerenauslese,Germany
15,wine,Trockenbeerenauslese,Austria
16,wine,Spaetlese,Germany
16,wine,Spaetlese,Austria
17,wine,Eiswein,Germany
17,wine,Eiswein,Austria
18,wine,"Tokaji, Tokaj",Hungary
19,wine,Amarone della Valpolicella,Italy
20,wine,Marsala,Italy
21,wine,Vin Santo,Italy
22,wine,Madeira,Portugal
23,wine,Sherry,Spain
24,wine,Wine,nan
25,fermented vegetables,Sour cabbage,Bosnia
25,fermented vegetables,Sour cabbage,Croatia
25,fermented vegetables,Sour cabbage,Serbia
25,fermented vegetables,Sour cabbage,Macedonia
25,fermented vegetables,Sour cabbage,Bulgaria
26,fermented vegetables,Chinese pickles,China
27,fermented vegetables,Sunki,Japan
28,fermented vegetables,"Takuan, Takuan-zuke, Danmuji",Japan
28,fermented vegetables,"Takuan, Takuan-zuke, Danmuji",Republic of Korea
29,fermented vegetables,Tsukemono,Japan
30,fermented vegetables,Meigan cai,China
31,fermented vegetables,Pao cai,China
32,fermented vegetables,Suan-cai,China
33,fermented vegetables,Yongfeng chili sauce,China
34,fermented vegetables,Zha cai,China
35,fermented vegetables,Curtido,El Salvador
36,fermented vegetables,kocho,Ethiopia
37,fermented vegetables,Kimchi,Korea
38,fermented vegetables,Sauerkraut,Germany
39,fermented vegetables,Pikliz,Haiti
40,fermented vegetables,"Bastanga, Ekung, Eup, Soijim, Soibum",India
41,fermented vegetables,Ekung,India
42,fermented vegetables,Hirring,India
43,fermented vegetables,"Inziangsang, Inziangdui",India
44,fermented vegetables,Soidon,India
45,fermented vegetables,Tuaithur,India
46,fermented vegetables,Lung-siej,India
47,fermented vegetables,Anishi,India
47,fermented vegetables,Anishi,Myanmar
48,fermented vegetables,Khalpi,India
48,fermented vegetables,Khalpi,Bhutan
48,fermented vegetables,Khalpi,Nepal
49,fermented vegetables,Mesu,India
49,fermented vegetables,Mesu,Bhutan
49,fermented vegetables,Mesu,Nepal
50,fermented vegetables,Sinki,India
50,fermented vegetables,Sinki,Bhutan
50,fermented vegetables,Sinki,Nepal
51,fermented vegetables,Goyang,India
51,fermented vegetables,Goyang,Nepal
52,fermented vegetables,Sayur asin,Indonesia
